Report Date	Report Range																																
10/8/2015	1/1/2011 - 10/8/2015																																
																																	
																																	
Community Summary																																	
Name	Muni	Launch Date	Property Count	Applications Submitted	Applications Approved	Applications Approved Amount ($)	Approved Projects	Approved Projects Amount ($)	Completed Projects	Completed Projects Amount ($)	Funded Projects	Funded Projects Amount ($)	Annual Energy Savings ($)	Lifetime Energy Savings ($)	Annual Energy Savings (kWh)	Lifetime Energy Savings (kWh)	Annual Water Savings (gal)	Lifetime Water Savings (gal)	Annual Water Bill Savings ($)	Lifetime Water Bill Savings ($)	Annual Emission Reduction (ton)	Lifetime Emission Reduction (ton)	Economic Impact ($)	Renewable Generation (kWh)	Therms Saved (therm)	kWh Saved	Jobs Created	kW Installed	Products Installed	Energy Efficient Products Installed	Solar Products Installed	Water Products Installed	Contractor Count
Palm Desert	Eastern Riverside	3/24/2015	"29,361"	142	91	"$4,954,289"	67	"$1,269,000"	45	"879,796"	45	"$879,796"	"$65,234"	"$2,342,437"	"367,874"	"6,354,583"	"74,250"	"1,113,750"	$334	"$7,017"	102	"1,793"	"$1,523,726"	"81,339"	"5,003"	"263,473"	7	50	67	53	13	1	38
Desert Hot Springs	Eastern Riverside	3/24/2015	"8,638"	78	44	"$1,102,497"	23	"$381,944"	9	"150,031"	9	"$150,031"	"$12,448"	"$485,663"	"55,636"	"1,019,293"	0	0	$0	$0	17	314	"$259,839"	"35,958"	378	"80,223"	1	22	13	5	8	0	2
Coachella	Eastern Riverside	3/24/2015	"7,165"	67	47	"$1,260,510"	24	"$381,317"	18	"300,655"	18	"$300,655"	"$17,401"	"$692,476"	"81,320"	"1,530,631"	0	0	$0	$0	24	460	"$520,707"	"13,186"	668	"85,681"	3	8	28	24	4	0	4
Indio	Eastern Riverside	11/14/2014	"25,196"	246	150	"$5,919,807"	97	"$1,770,645"	74	"1,283,217"	74	"$1,283,217"	"$87,758"	"$3,029,084"	"519,717"	"8,855,207"	"33,220"	"485,650"	$149	"$3,200"	142	"2,446"	"$2,222,413"	"44,423"	"7,715"	"344,400"	11	27	116	103	11	2	12
Beaumont 	Eastern Riverside	11/14/2014	"11,951"	243	160	"$6,213,221"	111	"$2,321,868"	86	"1,828,522"	86	"$1,828,522"	"$121,172"	"$4,785,652"	"558,110"	"10,378,044"	"443,245"	"5,027,000"	"$1,995"	"$29,950"	167	"3,148"	"$3,166,831"	"279,821"	"4,332"	"756,554"	16	171	148	78	64	6	20
Wildomar	Western Riverside	12/14/2011	"9,938"	"1,017"	644	"$22,735,130"	443	"$8,767,968"	394	"7,517,714"	394	"$7,517,714"	"$444,182"	"$16,797,723"	"3,315,335"	"58,221,546"	"1,193,495"	"12,242,450"	"$5,371"	"$69,295"	892	"16,027"	"$13,019,989"	"1,288,801"	"52,442"	"1,880,414"	64	817	680	372	287	21	31
Temecula	Western Riverside	12/14/2011	"28,622"	"2,580"	"1,815"	"$88,199,220"	"1,270"	"$25,108,482"	"1,168"	"22,668,148"	"1,166"	"$22,618,951"	"$1,362,365"	"$49,969,455"	"11,043,584"	"189,889,766"	"2,852,350"	"32,388,550"	"$12,836"	"$191,067"	"2,889"	"50,827"	"$39,259,147"	"3,446,181"	"196,246"	"5,134,845"	192	"2,185"	"2,060"	"1,336"	677	47	80
San Jacinto	Western Riverside	12/14/2011	"11,775"	829	496	"$12,925,006"	325	"$5,768,621"	286	"5,014,780"	285	"$4,995,740"	"$341,609"	"$13,506,320"	"2,217,908"	"40,605,724"	"464,650"	"6,394,400"	"$2,091"	"$41,000"	628	"11,712"	"$8,685,138"	"1,127,133"	"26,908"	"1,582,777"	43	715	534	263	263	8	17
Riverside	Western Riverside	12/14/2011	"66,530"	"6,252"	"4,323"	"$168,949,346"	"2,909"	"$53,181,189"	"2,582"	"45,294,021"	"2,575"	"$45,231,764"	"$2,006,728"	"$72,086,567"	"18,460,171"	"319,097,609"	"3,211,030"	"39,535,925"	"$14,450"	"$241,837"	"4,640"	"81,583"	"$78,445,078"	"3,061,779"	"377,792"	"7,604,027"	385	"1,942"	"4,558"	"3,798"	687	73	219
Perris	Western Riverside	12/14/2011	"15,454"	"1,056"	600	"$16,649,367"	383	"$6,230,563"	328	"5,153,868"	327	"$5,142,056"	"$301,205"	"$11,462,465"	"2,238,127"	"39,760,037"	"547,100"	"6,633,950"	"$2,462"	"$40,538"	603	"10,936"	"$8,926,025"	"782,567"	"35,155"	"1,432,362"	44	496	578	355	208	15	20
Norco	Western Riverside	12/14/2011	"6,828"	764	574	"$31,031,060"	407	"$9,546,293"	362	"8,169,277"	361	"$8,150,334"	"$457,598"	"$17,723,928"	"3,298,239"	"59,154,282"	"891,770"	"13,952,950"	"$4,013"	"$93,624"	898	"16,456"	"$14,148,437"	"1,382,215"	"49,284"	"1,725,229"	69	876	664	402	255	7	25
Murrieta	Western Riverside	12/14/2011	"29,779"	"2,844"	"1,970"	"$85,885,032"	"1,367"	"$27,538,461"	"1,245"	"24,431,221"	"1,244"	"$24,409,266"	"$1,558,832"	"$57,725,185"	"12,255,325"	"211,512,320"	"4,732,340"	"70,078,725"	"$21,296"	"$461,837"	"3,239"	"57,246"	"$42,312,627"	"4,329,319"	"209,139"	"6,106,928"	207	"2,746"	"2,214"	"1,256"	878	80	111
Moreno Valley	Western Riverside	12/14/2011	"44,963"	"5,297"	"3,291"	"$100,733,751"	"2,292"	"$39,987,975"	"1,984"	"32,915,604"	"1,981"	"$32,812,373"	"$1,776,431"	"$66,682,016"	"14,426,167"	"255,268,999"	"1,904,070"	"24,911,775"	"$8,568"	"$156,558"	"3,772"	"68,003"	"$57,006,797"	"3,620,653"	"256,946"	"7,259,646"	279	"2,296"	"3,578"	"2,714"	824	40	84
Menifee	Western Riverside	12/14/2011	"28,137"	"2,620"	"1,749"	"$55,985,036"	"1,195"	"$20,674,132"	"1,045"	"17,438,004"	"1,044"	"$17,395,960"	"$1,018,465"	"$37,872,530"	"7,850,990"	"136,536,690"	"3,293,630"	"37,464,550"	"$14,821"	"$222,665"	"2,089"	"37,150"	"$30,201,019"	"2,671,594"	"130,329"	"4,245,086"	148	"1,693"	"1,726"	"1,064"	597	65	52
Lake Elsinore	Western Riverside	12/14/2011	"14,262"	"1,434"	912	"$31,269,670"	636	"$12,132,562"	557	"10,414,884"	556	"$10,400,784"	"$596,746"	"$22,867,682"	"4,226,267"	"74,949,737"	"2,739,198"	"30,650,455"	"$12,326"	"$179,926"	"1,158"	"21,015"	"$18,037,621"	"1,838,767"	"61,240"	"2,779,520"	88	"1,166"	948	448	453	47	35
Jurupa Valley	Western Riverside	12/14/2011	"19,969"	"2,134"	"1,443"	"$52,530,864"	"1,023"	"$19,023,350"	921	"16,807,827"	919	"$16,770,819"	"$912,300"	"$34,855,815"	"6,913,593"	"123,663,487"	"1,028,650"	"14,195,550"	"$4,629"	"$91,210"	"1,850"	"33,730"	"$29,109,610"	"2,294,708"	"111,929"	"3,708,351"	143	"1,455"	"1,669"	"1,151"	505	13	47
Hemet	Western Riverside	12/14/2011	"22,768"	"1,274"	765	"$17,555,265"	506	"$7,827,983"	444	"6,645,939"	443	"$6,628,912"	"$402,247"	"$15,143,450"	"3,090,760"	"54,304,418"	"236,740"	"2,897,875"	"$1,065"	"$17,648"	823	"14,784"	"$11,510,154"	"1,024,626"	"51,069"	"1,792,410"	56	650	756	495	254	7	36
Eastvale	Western Riverside	12/14/2011	"14,174"	934	626	"$36,951,228"	409	"$10,205,450"	354	"8,713,598"	354	"$8,713,598"	"$613,129"	"$25,104,925"	"3,345,807"	"63,447,388"	"941,005"	"11,600,250"	"$4,235"	"$71,725"	"1,015"	"19,525"	"$15,091,150"	"2,491,220"	"22,608"	"2,795,303"	74	"1,580"	682	153	515	14	21
Riverside County Unincorporated	Western Riverside	12/14/2011	"82,477"	"6,426"	"4,351"	"$201,283,983"	"2,930"	"$66,672,905"	"2,527"	"55,367,008"	"2,521"	"$55,231,994"	"$3,371,410"	"$130,955,473"	"23,398,351"	"420,047,176"	"5,736,365"	"69,456,500"	"$25,814"	"$423,239"	"6,459"	"118,508"	"$95,890,563"	"10,761,812"	"326,620"	"13,205,030"	470	"6,819"	"4,589"	"2,417"	"2,056"	116	207
Corona	Western Riverside	12/14/2011	"36,212"	"3,153"	"2,220"	"$112,589,027"	"1,571"	"$31,207,199"	"1,429"	"27,791,987"	"1,428"	"$27,778,077"	"$1,437,097"	"$52,818,589"	"12,170,070"	"211,156,415"	"2,001,670"	"25,193,475"	"$9,008"	"$156,742"	"3,139"	"55,590"	"$48,133,165"	"3,231,956"	"228,075"	"5,331,903"	236	"2,050"	"2,481"	"1,812"	631	38	88
Canyon Lake	Western Riverside	12/14/2011	"4,524"	549	431	"$21,463,599"	322	"$6,968,876"	294	"6,170,595"	294	"$6,170,595"	"$445,598"	"$17,065,917"	"3,256,051"	"57,732,339"	"746,385"	"8,391,725"	"$3,359"	"$49,273"	882	"16,004"	"$10,686,903"	"1,389,183"	"49,784"	"1,559,929"	52	881	551	295	238	18	27
Calimesa	Western Riverside	12/14/2011	"2,116"	175	117	"$3,999,471"	77	"$1,431,297"	69	"1,218,491"	69	"$1,218,491"	"$69,063"	"$2,587,855"	"559,644"	"9,918,795"	"36,300"	"544,500"	$163	"$3,430"	146	"2,641"	"$2,110,314"	"159,814"	"9,941"	"251,123"	10	101	131	100	30	1	5
Banning	Western Riverside	12/14/2011	"9,979"	541	342	"$8,410,876"	204	"$3,337,716"	166	"2,487,826"	166	"$2,487,826"	"$122,710"	"$4,404,973"	"1,115,442"	"19,268,484"	"142,065"	"2,841,300"	$639	"$20,392"	281	"4,945"	"$4,308,685"	"195,304"	"22,560"	"504,750"	21	124	273	220	52	1	8
Riverside County		12/14/2011	"647,404"	"41,062"	"27,433"	"$1,104,493,790"	"18,756"	"$365,843,409"	"16,479"	"310,720,156"	"16,451"	"$310,174,617"	"$17,683,662"	"$665,562,957"	"135,709,438"	"2,388,190,555"	"33,629,963"	"422,720,655"	"$151,335"	"$2,618,976"	"36,104"	"648,967"	"$538,138,724"	"45,678,376"	"2,252,777"	"70,942,822"	"2,638"	"28,946"	"29,191"	"19,038"	"9,529"	624	"1,226"
Ceres	Stanislaus	9/15/2015	"10,793"	19	15	"$525,595"	6	"$122,226"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	9
Hughson	Stanislaus	3/24/2015	"1,860"	17	9	"$304,301"	3	"$47,330"	2	"16,601"	2	"$16,601"	$897	"$24,362"	"10,776"	"163,936"	0	0	$0	$0	2	37	"$28,751"	0	295	"2,120"	0	0	2	2	0	0	2
Riverbank	Stanislaus	11/14/2014	"6,376"	95	65	"$2,395,165"	40	"$759,549"	28	"470,748"	28	"$470,748"	"$34,771"	"$1,250,789"	"269,355"	"4,551,934"	"84,975"	"849,750"	$382	"$4,742"	67	"1,167"	"$815,292"	"73,412"	"5,570"	"104,950"	4	51	44	25	18	1	7
Waterford	Stanislaus	7/2/2014	"2,278"	39	30	"$945,502"	18	"$307,696"	16	"293,846"	16	"$293,846"	"$19,253"	"$684,304"	"157,346"	"2,665,238"	0	0	$0	$0	39	671	"$508,915"	"34,589"	"3,409"	"56,037"	2	24	29	21	8	0	2
Turlock	Stanislaus	3/24/2014	"17,860"	181	129	"$5,317,117"	91	"$1,570,186"	73	"1,250,631"	73	"$1,250,631"	"$70,855"	"$2,269,005"	"776,884"	"12,637,302"	"76,100"	"1,302,000"	$342	"$8,766"	178	"2,937"	"$2,165,978"	"56,360"	"20,386"	"180,818"	11	39	123	107	14	2	16
Oakdale	Stanislaus	7/2/2014	"6,329"	137	108	"$4,249,188"	81	"$1,698,620"	66	"1,272,060"	66	"$1,272,060"	"$89,360"	"$3,340,419"	"647,484"	"11,264,725"	"38,500"	"385,000"	$173	"$2,148"	165	"2,942"	"$2,203,092"	"198,980"	"12,543"	"254,037"	11	137	116	74	41	1	2
Newman	Stanislaus	5/23/2014	"2,977"	39	31	"$897,346"	24	"$394,673"	18	"267,226"	18	"$267,226"	"$26,037"	"$874,607"	"265,569"	"4,362,290"	0	0	$0	$0	62	"1,035"	"$462,810"	"41,803"	"6,702"	"58,435"	2	29	33	26	7	0	0
Modesto	Stanislaus	7/2/2014	"57,728"	959	694	"$25,402,549"	514	"$8,834,698"	400	"6,808,608"	400	"$6,808,608"	"$417,473"	"$14,098,858"	"4,104,985"	"68,255,538"	"333,940"	"3,374,400"	"$1,503"	"$18,941"	966	"16,310"	"$11,791,882"	"502,685"	"101,395"	"1,162,749"	58	347	717	581	128	8	21
Stanislaus County		3/24/2014	"106,201"	"1,486"	"1,081"	"$40,036,763"	777	"$13,734,978"	603	"10,379,720"	603	"$10,379,720"	"$658,646"	"$22,542,343"	"6,232,399"	"103,900,963"	"533,515"	"5,911,150"	"$2,401"	"$34,596"	"1,480"	"25,099"	"$17,976,719"	"907,829"	"150,300"	"1,819,146"	88	626	"1,064"	836	216	12	59
Suisun City	Solano	9/15/2015	"8,103"	4	3	"$142,743"	1	"$31,875"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	5
Rio Vista	Solano	9/15/2015	"3,636"	7	5	"$234,080"	1	"$31,513"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	1
Fairfield	Solano	9/15/2015	"28,550"	18	12	"$725,338"	3	"$85,021"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	7
Dixon	Solano	3/24/2015	"5,088"	40	33	"$1,646,917"	19	"$346,423"	15	"262,704"	15	"$262,704"	"$16,223"	"$550,524"	"155,187"	"2,599,586"	0	0	$0	$0	37	625	"$454,979"	"15,875"	"3,769"	"45,431"	2	11	33	29	4	0	6
Vallejo	Solano	11/14/2014	"35,280"	177	116	"$5,660,201"	75	"$1,638,160"	49	"1,025,547"	49	"$1,025,547"	"$46,173"	"$1,673,544"	"431,336"	"7,438,091"	"154,330"	"1,543,300"	$694	"$8,612"	103	"1,804"	"$1,776,154"	"57,090"	"10,316"	"135,415"	9	39	102	85	15	2	6
Benicia	Solano	11/14/2014	"9,356"	54	44	"$3,772,017"	33	"$773,249"	22	"501,269"	22	"$501,269"	"$24,107"	"$868,863"	"208,674"	"3,626,748"	0	0	$0	$0	51	894	"$868,152"	"29,508"	"4,731"	"83,698"	4	20	52	40	12	0	3
Vacaville	Solano	7/2/2014	"25,850"	538	407	"$20,863,214"	271	"$5,541,893"	230	"4,715,045"	230	"$4,715,045"	"$299,281"	"$11,054,042"	"2,360,438"	"41,058,537"	"557,700"	"8,708,700"	"$2,510"	"$58,597"	588	"10,432"	"$8,166,025"	"548,783"	"49,611"	"878,731"	40	374	485	353	125	7	23
Solano County Unincorporated	Solano	3/24/2014	"5,466"	85	64	"$5,590,891"	42	"$1,372,991"	35	"1,104,148"	35	"$1,104,148"	"$75,637"	"$2,952,290"	"473,593"	"8,429,885"	0	0	$0	$0	127	"2,312"	"$1,912,282"	"211,175"	"7,666"	"192,305"	9	144	68	32	36	0	5
Solano County		3/24/2014	"121,329"	923	684	"$38,635,401"	445	"$9,821,125"	351	"7,608,713"	351	"$7,608,713"	"$461,421"	"$17,099,263"	"3,629,227"	"63,152,847"	"712,030"	"10,252,000"	"$3,204"	"$67,209"	905	"16,067"	"$13,177,591"	"862,431"	"76,092"	"1,335,581"	65	588	740	539	192	9	56
Capitola	Santa Cruz	6/10/2015	"3,900"	2	1	"$162,192"	1	"$29,066"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Santa Cruz County Unincorporated	Santa Cruz	11/14/2014	"44,755"	65	51	"$5,583,205"	18	"$386,917"	9	"221,145"	9	"$221,145"	"$13,533"	"$572,918"	"50,121"	"1,002,426"	0	0	$0	$0	16	330	"$383,002"	"49,791"	0	"51,732"	2	34	18	2	16	0	12
Scotts Valley	Santa Cruz	7/2/2014	"3,707"	6	5	"$459,007"	4	"$89,758"	2	"30,871"	2	"$30,871"	"$2,649"	"$111,350"	"12,234"	"244,674"	0	0	$0	$0	4	73	"$53,466"	"7,764"	96	"8,017"	0	5	4	2	2	0	3
Santa Cruz County		7/2/2014	"52,362"	73	57	"$6,204,404"	23	"$505,741"	11	"252,016"	11	"$252,016"	"$16,182"	"$684,268"	"62,355"	"1,247,101"	0	0	$0	$0	20	403	"$436,469"	"57,555"	96	"59,749"	2	39	22	4	18	0	15
Morgan Hill	Santa Clara	6/10/2015	"10,698"	12	10	"$1,075,064"	5	"$127,167"	4	"87,339"	3	"$81,396"	"$5,419"	"$216,171"	"28,657"	"516,517"	0	0	$0	$0	8	151	"$151,263"	"16,691"	340	"14,889"	1	11	6	2	4	0	4
Gilroy	Santa Clara	6/10/2015	"11,611"	28	22	"$2,016,406"	8	"$168,038"	3	"49,797"	3	"$49,797"	"$2,089"	"$58,458"	"29,190"	"451,937"	0	0	$0	$0	6	99	"$86,244"	0	850	"4,273"	0	0	4	4	0	0	3
San Jose	Santa Clara	5/23/2014	"229,629"	"1,002"	723	"$79,173,918"	412	"$11,027,334"	306	"8,111,117"	306	"$8,111,117"	"$442,364"	"$17,746,880"	"2,480,450"	"45,848,907"	"1,153,880"	"16,001,200"	"$5,192"	"$103,279"	690	"12,977"	"$14,047,709"	"1,294,353"	"33,368"	"1,367,744"	69	872	711	333	353	25	88
Santa Clara County		5/23/2014	"251,938"	"1,042"	755	"$82,265,388"	425	"$11,322,539"	313	"8,248,253"	312	"$8,242,310"	"$449,872"	"$18,021,510"	"2,538,296"	"46,817,361"	"1,153,880"	"16,001,200"	"$5,192"	"$103,279"	704	"13,227"	"$14,285,216"	"1,311,044"	"34,558"	"1,386,905"	70	883	721	339	357	25	95
Burlingame	San Mateo	9/15/2015	"7,771"	1	1	"$361,729"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	4
South San Francisco	San Mateo	6/10/2015	"16,417"	9	8	"$891,632"	3	"$116,531"	1	"48,756"	1	"$48,756"	"$1,546"	"$65,455"	"5,726"	"114,526"	0	0	$0	$0	2	38	"$84,441"	"5,394"	0	"6,219"	0	4	3	1	2	0	2
San Mateo	San Mateo	6/10/2015	"26,609"	9	8	"$1,342,155"	5	"$183,660"	3	"101,694"	3	"$101,694"	"$5,214"	"$220,732"	"19,311"	"386,212"	0	0	$0	$0	6	127	"$176,126"	"18,985"	0	"18,495"	1	13	7	1	6	0	7
San Carlos	San Mateo	6/10/2015	"9,935"	4	4	"$769,688"	2	"$67,296"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	3
Woodside	San Mateo	3/24/2015	"1,995"	1	1	"$380,416"	1	"$33,587"	1	"33,587"	1	"$33,587"	"$2,064"	"$87,376"	"7,644"	"152,880"	0	0	$0	$0	3	50	"$58,169"	"7,644"	0	"6,622"	0	5	2	0	2	0	0
San Mateo County Unincorporated	San Mateo	3/24/2015	"18,082"	13	8	"$1,522,109"	3	"$118,314"	1	"37,928"	1	"$37,928"	"$1,857"	"$78,631"	"6,879"	"137,580"	0	0	$0	$0	2	45	"$65,689"	"6,879"	0	"5,967"	0	5	2	0	2	0	2
San Bruno	San Mateo	3/24/2015	"12,093"	7	5	"$587,407"	2	"$63,327"	1	"31,186"	1	"$31,186"	"$2,654"	"$112,340"	"9,828"	"196,560"	0	0	$0	$0	3	65	"$54,011"	"9,828"	0	"6,224"	0	7	2	0	2	0	1
Redwood City	San Mateo	3/24/2015	"18,919"	18	13	"$2,149,428"	6	"$115,480"	1	"8,908"	1	"$8,908"	$0	$0	0	0	"25,355"	"253,550"	$114	"$1,415"	0	0	"$15,428"	0	0	0	0	0	1	0	0	1	4
Daly City	San Mateo	3/24/2015	"22,712"	14	7	"$780,350"	4	"$94,360"	1	"34,884"	1	"$34,884"	"$1,857"	"$78,631"	"6,879"	"137,580"	0	0	$0	$0	2	45	"$60,416"	"6,879"	0	"6,003"	0	5	2	0	2	0	1
Foster City	San Mateo	11/14/2014	"8,746"	15	12	"$2,132,539"	6	"$158,233"	5	"136,552"	5	"$136,552"	"$4,098"	"$172,989"	"16,715"	"334,293"	"116,325"	"1,163,250"	$523	"$6,491"	5	105	"$236,496"	"14,268"	61	"13,029"	1	10	8	2	4	2	2
Menlo Park	San Mateo	7/2/2014	"9,201"	18	13	"$3,950,759"	7	"$226,177"	4	"150,097"	4	"$150,097"	"$7,883"	"$333,751"	"29,198"	"583,960"	"30,800"	"308,000"	$139	"$1,719"	10	192	"$259,953"	"29,198"	0	"20,004"	1	20	7	0	6	1	1
San Mateo County		7/2/2014	"152,480"	109	80	"$14,868,212"	39	"$1,176,965"	18	"583,592"	18	"$583,592"	"$27,174"	"$1,149,906"	"102,180"	"2,043,591"	"172,480"	"1,724,800"	$776	"$9,624"	33	668	"$1,010,727"	"99,075"	61	"82,563"	5	68	34	4	26	4	27
Manteca	San Joaquin	6/10/2015	"19,237"	166	105	"$4,842,004"	74	"$1,485,296"	45	"816,940"	44	"$808,363"	"$52,614"	"$1,747,270"	"471,676"	"7,733,784"	"279,950"	"4,179,450"	"$1,260"	"$27,729"	114	"1,893"	"$1,414,865"	"74,201"	"10,969"	"169,933"	7	51	71	47	17	7	17
Ripon	San Joaquin	3/24/2015	"4,512"	69	54	"$2,756,302"	37	"$670,225"	29	"556,614"	29	"$556,614"	"$37,251"	"$1,338,946"	"280,382"	"4,782,765"	"24,475"	"244,750"	$110	"$1,366"	71	"1,233"	"$964,005"	"66,863"	"5,643"	"137,291"	5	46	51	34	16	1	8
Lodi	San Joaquin	3/24/2015	"17,004"	131	97	"$4,458,396"	68	"$1,358,254"	51	"937,183"	51	"$937,183"	"$60,313"	"$1,741,894"	"688,497"	"10,887,893"	"96,800"	"1,793,000"	$436	"$12,640"	157	"2,490"	"$1,623,115"	"22,230"	"18,431"	"159,576"	8	15	83	75	6	2	12
Stockton	San Joaquin	11/14/2014	"73,217"	660	418	"$14,635,172"	284	"$5,170,888"	209	"3,611,443"	209	"$3,611,443"	"$261,271"	"$8,556,297"	"2,490,219"	"40,903,469"	"286,280"	"3,606,850"	"$1,288"	"$22,391"	590	"9,833"	"$6,254,687"	"276,232"	"60,333"	"883,369"	31	190	384	299	78	7	23
Tracy	San Joaquin	7/2/2014	"22,342"	650	465	"$24,957,777"	366	"$7,540,639"	290	"5,884,859"	290	"$5,884,859"	"$414,756"	"$14,647,663"	"3,253,250"	"54,880,311"	"57,750"	"577,500"	$260	"$3,222"	812	"13,973"	"$10,192,035"	"691,436"	"68,043"	"1,510,118"	50	476	528	360	167	1	11
San Joaquin County		7/2/2014	"136,312"	"1,676"	"1,139"	"$51,649,651"	829	"$16,225,302"	624	"11,807,040"	623	"$11,798,463"	"$826,204"	"$28,032,071"	"7,184,024"	"119,188,222"	"745,255"	"10,401,550"	"$3,354"	"$67,348"	"1,744"	"29,423"	"$20,448,707"	"1,130,962"	"163,418"	"2,860,286"	100	778	"1,117"	815	284	18	71
Del Mar	San Diego	6/10/2015	"4,140"	4	3	"$789,497"	1	"$35,988"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Poway	San Diego	11/14/2014	"14,052"	298	241	"$24,906,846"	159	"$4,525,515"	110	"2,833,630"	110	"$2,833,630"	"$133,448"	"$5,147,732"	"822,148"	"14,654,546"	"1,744,380"	"19,799,175"	"$7,850"	"$117,375"	223	"4,061"	"$4,907,587"	"352,913"	"12,606"	"300,747"	24	222	208	130	57	21	33
Santee	San Diego	11/14/2014	"15,772"	376	293	"$18,457,718"	210	"$4,731,276"	142	"2,987,293"	142	"$2,987,293"	"$152,767"	"$6,045,945"	"801,707"	"14,808,342"	"871,145"	"10,164,275"	"$3,920"	"$60,384"	231	"4,329"	"$5,173,717"	"442,532"	"8,740"	"426,270"	25	279	250	133	98	19	45
National City	San Diego	11/14/2014	"8,368"	102	74	"$3,799,703"	50	"$955,464"	34	"693,581"	34	"$693,581"	"$21,372"	"$857,415"	"114,023"	"2,135,849"	"411,235"	"7,187,950"	"$1,851"	"$49,932"	33	619	"$1,201,219"	"52,742"	"1,299"	"68,896"	6	33	57	38	14	5	4
La Mesa	San Diego	11/14/2014	"15,694"	284	213	"$15,539,810"	142	"$3,550,099"	97	"2,319,228"	97	"$2,319,228"	"$117,706"	"$4,620,778"	"674,739"	"12,322,298"	"445,885"	"4,964,850"	"$2,006"	"$29,320"	188	"3,491"	"$4,016,689"	"323,976"	"9,061"	"340,741"	20	204	196	110	77	9	28
Imperial Beach	San Diego	11/14/2014	"5,269"	44	34	"$2,111,183"	21	"$483,273"	18	"359,348"	18	"$359,348"	"$10,659"	"$448,519"	"47,992"	"959,833"	"251,900"	"3,445,750"	"$1,134"	"$22,187"	15	294	"$622,358"	"31,205"	286	"34,238"	3	20	31	17	8	6	3
Encinitas	San Diego	11/14/2014	"20,320"	175	146	"$21,156,357"	94	"$2,643,643"	67	"1,702,744"	67	"$1,702,744"	"$96,198"	"$3,830,714"	"511,704"	"9,398,763"	"383,289"	"4,716,740"	"$1,725"	"$29,142"	146	"2,743"	"$2,948,996"	"296,110"	"5,784"	"250,106"	14	186	126	57	57	12	20
Coronado	San Diego	11/14/2014	"10,506"	19	13	"$2,932,016"	9	"$459,445"	5	"255,112"	5	"$255,112"	"$12,122"	"$497,192"	"56,720"	"1,067,030"	0	0	$0	$0	17	328	"$441,830"	"42,610"	412	"22,434"	2	27	10	3	7	0	1
Vista	San Diego	2/10/2014	"20,140"	767	557	"$36,718,005"	374	"$8,269,205"	295	"6,313,221"	294	"$6,295,985"	"$338,639"	"$13,382,232"	"1,873,523"	"34,380,520"	"1,453,335"	"16,131,050"	"$6,540"	"$93,880"	528	"9,869"	"$10,933,919"	"955,852"	"23,307"	"977,118"	54	602	542	298	221	23	59
Solana Beach	San Diego	2/10/2014	"12,666"	72	53	"$9,168,574"	31	"$945,053"	23	"725,642"	23	"$725,642"	"$40,632"	"$1,671,352"	"195,303"	"3,730,182"	"415,015"	"4,186,650"	"$1,868"	"$23,440"	58	"1,126"	"$1,256,745"	"136,729"	"1,593"	"98,429"	6	86	43	16	24	3	3
San Marcos	San Diego	2/10/2014	"20,860"	617	454	"$33,416,023"	298	"$6,264,206"	235	"4,745,897"	234	"$4,731,966"	"$273,377"	"$10,681,824"	"1,548,956"	"27,977,652"	"1,675,945"	"23,020,025"	"$7,542"	"$147,569"	433	"7,983"	"$8,219,457"	"783,928"	"20,304"	"808,586"	40	493	420	201	188	31	44
San Diego	San Diego	7/2/2014	"347,407"	"5,210"	"3,762"	"$309,627,527"	"2,393"	"$53,845,046"	"1,775"	"38,474,003"	"1,775"	"$38,474,003"	"$1,701,741"	"$66,760,355"	"9,866,349"	"179,902,195"	"11,423,195"	"145,448,100"	"$51,404"	"$905,230"	"2,732"	"50,769"	"$66,633,434"	"4,551,023"	"135,546"	"5,066,509"	327	"2,864"	"3,238"	"1,909"	"1,111"	218	382
Oceanside	San Diego	2/10/2014	"54,846"	"1,430"	"1,027"	"$66,063,979"	636	"$14,048,423"	505	"11,069,158"	504	"$11,052,917"	"$506,573"	"$19,990,713"	"2,871,987"	"52,621,615"	"3,836,328"	"49,005,705"	"$17,263"	"$305,818"	802	"14,969"	"$19,170,764"	"1,338,579"	"37,696"	"1,590,637"	94	842	955	539	343	73	56
